SIN011-0001|pansala /asurukiriimen dh/anagathah/aki boho)dhea sihiyata nagaa ganimin dhamayanthi kathaa kalaaya|pansala /asurukiriimen dh/anagathah/aki boho)dhea sihiyata nagaa ganimin dhamayanthi kathaa kalaaya
SIN011-0038|api h/amo)ma dh/an budhDhaagamea h/amadhaama budhun vahansea mal  pahan poojaa karanavaa po)dhaata pansal yanavaa|api h/amo)ma dh/an budhDhaagamea h/amadhaama budhun vahansea mal  pahan poojaa karanavaa po)dhaata pansal yanavaa
SIN011-0039|evelehi kisiyam h/a`giimak ossea /aya atharaman vuvaaya mohothakata pasu /aya GNaathi sohoyuriya /amathuvaaya|evelehi kisiyam h/a`giimak ossea /aya atharaman vuvaaya mohothakata pasu /aya GNaathi sohoyuriya /amathuvaaya
SIN011-0040|p/avasu dhamayanthigea kuthuhalaya avasan novuna bavak palavini thavama dho)ni isko)lea yannea nAanea puthaanam budhDha Dharmaya thamayi igena gannea|p/avasu dhamayanthigea kuthuhalaya avasan novuna bavak palavini thavama dho)ni isko)lea yannea nAanea puthaanam budhDha Dharmaya thamayi igena gannea
SIN011-0041|yanna thama jiivana magata rasanndhunak noveadh/ayi sithaa s/anasum susumak heloovaaya na\ngi dh/an babaalaa isko)ledhi igena gannea mona aagamadha|yanna thama jiivana magata rasanndhunak noveadh/ayi sithaa s/anasum susumak heloovaaya na\ngi dh/an babaalaa isko)ledhi igena gannea mona aagamadha
SIN011-0042|avasaanayea ethumaa parakaaSha kala dheviyan vahansea visin hak kala dheya minisaa visin ven nokereavaa|avasaanayea ethumaa parakaaSha kala dheviyan vahansea visin hak kala dheya minisaa visin ven nokereavaa
SIN011-0043|mea vidhiyata dheavag/athithumaa jeasuthumaath budhunvahanseath samaana kalea apuru aakaarayata|mea vidhiyata dheavag/athithumaa jeasuthumaath budhunvahanseath samaana kalea apuru aakaarayata
SIN011-0044|dhamavanthigea b/almata kasunigea dheneth asukota i`gikalaaya ah|dhamavanthigea b/almata kasunigea dheneth asukota i`gikalaaya ah
SIN011-0045|jeasu samidhungea mo)kSha maargayeath budhun vahanseagea nivan maargayeath gaman kiriimen avabo)Dha vannea ekama eka sath\yayayi|jeasu samidhungea mo)kSha maargayeath budhun vahanseagea nivan maargayeath gaman kiriimen avabo)Dha vannea ekama eka sath\yayayi
SIN011-0046|gihiyan haa p/avidhdhan siya jivithaya gathakala yuthu andhama emenma atalo)dhahamen kampaa noviya yuthu bava budhun vahansea dheashanaa karalaa thiyanavaa|gihiyan haa p/avidhdhan siya jivithaya gathakala yuthu andhama emenma atalo)dhahamen kampaa noviya yuthu bava budhun vahansea dheashanaa karalaa thiyanavaa
SIN011-0047|budhun vahanseath vIrayen vIraya nosansidhena bava dheashanaa karalaa thiyanavaa apea dhasa panathen kiyavenavaa|budhun vahanseath vIrayen vIraya nosansidhena bava dheashanaa karalaa thiyanavaa apea dhasa panathen kiyavenavaa
SIN011-0048|dheavadhath katho)lika dheashanaavalin sathuraatath pearama karanna ugannanavaa ea vageama|dheavadhath katho)lika dheashanaavalin sathuraatath pearama karanna ugannanavaa ea vageama
SIN011-0049|ea thamayi s/ariyuth mugalan jeasuthumaata judhaas kiyalaa dhro)hiyek hitiyaa eavaageama budhun vahanseagea edhirivaadhiyaa thamayi|ea thamayi s/ariyuth mugalan jeasuthumaata judhaas kiyalaa dhro)hiyek hitiyaa eavaageama budhun vahanseagea edhirivaadhiyaa thamayi
SIN011-0050|jeasu thumaata agasav dhenamak hitiyaa ea peadhuru saha juvaan ea vageama budhun vahanseata agasav dhenamak hitiyaa|jeasu thumaata agasav dhenamak hitiyaa ea peadhuru saha juvaan ea vageama budhun vahanseata agasav dhenamak hitiyaa
SIN011-0051|ea vageama sidhuhath thavusaath neara\njanaa ge`gan ethera velaa hata avurudhdhak dhuShkarak kari kiriima|ea vageama sidhuhath thavusaath neara\njanaa ge`gan ethera velaa hata avurudhdhak dhuShkarak kari kiriima
SIN011-0052|jeasuthumaa dheavathvayen b/asa jo)rdhaan ge`gan ethera velaa paaLua kaanthaarayaka s/aris/ariima|jeasuthumaa dheavathvayen b/asa jo)rdhaan ge`gan ethera velaa paaLua kaanthaarayaka s/aris/ariima
SIN011-0053|edhaa vivaaha una dhavasea dhea mehaya pavathvapu dheavag/athi thumaa apata dhesu dheaShanaava koyitharam aadharshamathdha|edhaa vivaaha una dhavasea dhea mehaya pavathvapu dheavag/athi thumaa apata dhesu dheaShanaava koyitharam aadharshamathdha
SIN011-0054|mea dhavasvala thun sootharaya katapaadam karanavaa /aya n/avathath athiithayea sonndhuru s/amarum sihiyata nagaagaththaaya |mea dhavasvala thun sootharaya katapaadam karanavaa /aya n/avathath athiithayea sonndhuru s/amarum sihiyata nagaagaththaaya 
SIN011-0055|ohu kavarekdha kiyaa dh/anag/aniimata uthsaha dh/aruvaaya oyaa marsalin jayakodi piyathumaagea sindhu thaalayata kiyanavaa ma\n ahagena|ohu kavarekdha kiyaa dh/anag/aniimata uthsaha dh/aruvaaya oyaa marsalin jayakodi piyathumaagea sindhu thaalayata kiyanavaa ma\n ahagena
SIN011-0056|mama dheavasThaanayata sambanDha dheaval kathaa kaloth dhasungeth Lamayingeth sith avul venavaa|mama dheavasThaanayata sambanDha dheaval kathaa kaloth dhasungeth Lamayingeth sith avul venavaa
SIN011-0057|eath avurudhu vissak vithara Lamaa kaalayeth yevana kaalayeth sidhuviim thamayi hithea p/alapadhiyam velaa thiyennea|eath avurudhu vissak vithara Lamaa kaalayeth yevana kaalayeth sidhuviim thamayi hithea p/alapadhiyam velaa thiyennea
SIN011-0058|saminndhuni obea p/asasum kiyavea thava tikak kal yanakota mea kavith amathaka veavi|saminndhuni obea p/asasum kiyavea thava tikak kal yanakota mea kavith amathaka veavi
SIN011-0059|ga`ga dhiya r/allea samidhuni obe p/asasum kiyavea galpara piiraa h/alenaa /allea|ga`ga dhiya r/allea samidhuni obe p/asasum kiyavea galpara piiraa h/alenaa /allea
SIN011-0060|edhaa dheava meheyedhii magea yaaLuavo) g/ayu giithikaa mata thavama mathakayi galamin basinaa|edhaa dheava meheyedhii magea yaaLuavo) g/ayu giithikaa mata thavama mathakayi galamin basinaa
SIN011-0061|athimata dheavasThaanayata giyea b/anndhapu dhavasea thamayi mata hari sathutuyi ma\ngala /adhumen yanna l/abichcha ekata|athimata dheavasThaanayata giyea b/anndhapu dhavasea thamayi mata hari sathutuyi ma\ngala /adhumen yanna l/abichcha ekata
SIN011-0062|b/andhata passea mama giyema nAa /aya saamaan\ya uchchaarana vilaasayata nuhuru th/anpath gathiyak thelapalaaya|b/andhata passea mama giyema nAa /aya saamaan\ya uchchaarana vilaasayata nuhuru th/anpath gathiyak thelapalaaya
SIN011-0063|eka`gathaavayatakata p/aminaviimata manasa sakas karagena /atha eya dh/anag/aniimatadha dhamayanthita /ath no ivasillaki|eka`gathaavayatakata p/aminaviimata manasa sakas karagena /atha eya dh/anag/aniimatadha dhamayanthita /ath no ivasillaki
SIN011-0064|venasakata lakviima ibeama sidhuviya noh/akkaki eheyin ema sithuvili thama svaamipuruShayaagea sithuvilla haa|venasakata lakviima ibeama sidhuviya noh/akkaki eheyin ema sithuvili thama svaamipuruShayaagea sithuvilla haa
SIN011-0065| na\ngii oyaa dh/an mahadhera giyaamavath dheavasThaanayakata yannea n/adhdha kasuni h/adhii v/adunu parisarayavana| na\ngii oyaa dh/an mahadhera giyaamavath dheavasThaanayakata yannea n/adhdha kasuni h/adhii v/adunu parisarayavana
SIN011-0066|hithaaganna amaaruyi kavudha kiyalaa thamaa ea g/ana hina meheviimata vadaa thama GNaathi sohoyuriyagenma |hithaaganna amaaruyi kavudha kiyalaa thamaa ea g/ana hina meheviimata vadaa thama GNaathi sohoyuriyagenma 
SIN011-0067|apea dhuvagea muhuNa mariya dhevthumigea vagea kiyalaa dhamayanthigea katahanndin /aya sihina lovin midhunaaya|apea dhuvagea muhuNa mariya dhevthumigea vagea kiyalaa dhamayanthigea katahanndin /aya sihina lovin midhunaaya
SIN011-0068|apea ammaath ehemayi matanam mea vagea dheyak karanna idak l/abunea nAa eath kavuruth vagea kiyanavaa |apea ammaath ehemayi matanam mea vagea dheyak karanna idak l/abunea nAa eath kavuruth vagea kiyanavaa 
SIN011-0069|katho)lika aagamea aya babaala l/abenna inna kota mariya dhevthumigea pinthoorayak /anndha la`ga ellaa gannavaa|katho)lika aagamea aya babaala l/abenna inna kota mariya dhevthumigea pinthoorayak /anndha la`ga ellaa gannavaa
SIN011-0070|jeasu kumaaraa vadaagena sitina piLimaya b/adhu b/almata magea nethata hamuvenavaa Aa minis dhuvak vuNath dheva`ganak vagea|jeasu kumaaraa vadaagena sitina piLimaya b/adhu b/almata magea nethata hamuvenavaa Aa minis dhuvak vuNath dheva`ganak vagea
SIN011-0071|bayibalayea pituvaka a\nkaya pavasanavaa evita siyallo)ma eya ektharaa ridhmayakata kiyanavaa mariya dhevthumiya |bayibalayea pituvaka a\nkaya pavasanavaa evita siyallo)ma eya ektharaa ridhmayakata kiyanavaa mariya dhevthumiya 
SIN011-0072|thaaththaath na\ngilaa dhennaath mamath novaradhavaama dheavasThaanayata giyaa siinuva naadhakala dheavag/athi thumaa|thaaththaath na\ngilaa dhennaath mamath novaradhavaama dheavasThaanayata giyaa siinuva naadhakala dheavag/athi thumaa
SIN011-0073|dheavasThaanayata giya ayuru /ayata sihiviya sAama iridhaavakama nivasea siyaLuama dhenaama enam ammaath|dheavasThaanayata giya ayuru /ayata sihiviya sAama iridhaavakama nivasea siyaLuama dhenaama enam ammaath
SIN011-0074|na\ngila dhennama kiyanavaa katho)lika kenek ekka misak vivaha vennea nAa kiyalaa kudaa rendha pati /alloo seadha sealayakin hisa vasaa|na\ngila dhennama kiyanavaa katho)lika kenek ekka misak vivaha vennea nAa kiyalaa kudaa rendha pati /alloo seadha sealayakin hisa vasaa
SIN011-0075|v/adi h/a`giimakin /aya GNaathi sohoyuriya sama`ga dhodannata viya apea pavulea budhDhaagamata /avith innea mama vitharayi|v/adi h/a`giimakin /aya GNaathi sohoyuriya sama`ga dhodannata viya apea pavulea budhDhaagamata /avith innea mama vitharayi
SIN011-0076|/agea muhuNehi r/adhuNu parasanna penuma m/akiigos thibuNi hadhavathehi n/aththvu saa\nkaavata|/agea muhuNehi r/adhuNu parasanna penuma m/akiigos thibuNi hadhavathehi n/aththvu saa\nkaavata
SIN011-0077|ea piyathumaa parasidhDha leakhakayek enem dh/anvath kiyanna mama v/adiya saahith\ya pothapatha kivalaa n/athi nisaa|ea piyathumaa parasidhDha leakhakayek enem dh/anvath kiyanna mama v/adiya saahith\ya pothapatha kivalaa n/athi nisaa
SIN011-0078|Lamayin aagam dhekak g/ana visthara karanan unaama patal/avillak venavaa kiyalaa dhasun kiyanavaa saamaan\ya velaavata|Lamayin aagam dhekak g/ana visthara karanan unaama patal/avillak venavaa kiyalaa dhasun kiyanavaa saamaan\ya velaavata
SIN011-0079|maalaavakin p/avasuvaaya n/avathath kaThaava patan gaththa /aya eath dh/an dheavasThaanavalata yanna avasara l/abeyi kiyalaa hithanna amaaruyi|maalaavakin p/avasuvaaya n/avathath kaThaava patan gaththa /aya eath dh/an dheavasThaanavalata yanna avasara l/abeyi kiyalaa hithanna amaaruyi
SIN011-0080|ea yanneth vino)dhavenna kasuni aayasayen yatapath karagath sa\nveadhanaathmaka vadhan|ea yanneth vino)dhavenna kasuni aayasayen yatapath karagath sa\nveadhanaathmaka vadhan
SIN011-0081|issara giya gaman dh/an yannea nAa dhasun kiyanavaa k/alvari yana kal shari paadhea yamuyi kiyalaa|issara giya gaman dh/an yannea nAa dhasun kiyanavaa k/alvari yana kal shari paadhea yamuyi kiyalaa
SIN011-0082|k/alvari yaamata aasaavak /ath/ayi sithuvaaya ea gamanata ekathuvenna puLuavanveyi kiyalaa kiyanna amaaruveyi akkea|k/alvari yaamata aasaavak /ath/ayi sithuvaaya ea gamanata ekathuvenna puLuavanveyi kiyalaa kiyanna amaaruveyi akkea
SIN011-0083|na\ngith apith ekka enavaanea kasunigea vagehi piLiBiBu  vu venaskam dhutu dhamayanthi /ayata n/avatha n/avathath |na\ngith apith ekka enavaanea kasunigea vagehi piLiBiBu  vu venaskam dhutu dhamayanthi /ayata n/avatha n/avathath 
SIN011-0084|mahaththayagea gamata echchara Aathakuth nemeyi eath mata thavama yanna b/arivunaa iilagata ago)sthu nisaaduvata kohomahari yanna enna|mahaththayagea gamata echchara Aathakuth nemeyi eath mata thavama yanna b/arivunaa iilagata ago)sthu nisaaduvata kohomahari yanna enna
SIN011-0085|/aya mavaagath somnasa kaThaakarana bava muhuNehi dhisviya budhDhaagamea ayath vino)dheta k/alvari kandhak naginavaaloo|/aya mavaagath somnasa kaThaakarana bava muhuNehi dhisviya budhDhaagamea ayath vino)dheta k/alvari kandhak naginavaaloo
SIN011-0086|harima jivamaanayi ea nisaama kandha mudhunea dhevi m/adhurakata yanakam kisi mahansiyak dh/anunea nAa|harima jivamaanayi ea nisaama kandha mudhunea dhevi m/adhurakata yanakam kisi mahansiyak dh/anunea nAa
SIN011-0087|dhavasin gahin ennath puLuavan jeasu piyaanangea jivitha kaThaava sampoorNayenma lassanata aBalaa thiyanavaa|dhavasin gahin ennath puLuavan jeasu piyaanangea jivitha kaThaava sampoorNayenma lassanata aBalaa thiyanavaa
SIN011-0088|kusum kiyamin siti potha vasaa athehi ruvaagena dhamayanthi siti th/anata piya n/aguvaaya|kusum kiyamin siti potha vasaa athehi ruvaagena dhamayanthi siti th/anata piya n/aguvaaya
SIN011-0089|eka thiyennea himidhuma p/aththea amare ayiyaagea gamatath kittuyi eaka nisaa akkalatanam|eka thiyennea himidhuma p/aththea amare ayiyaagea gamatath kittuyi eaka nisaa akkalatanam
SIN011-0090|mama thunpaarak mea kandha n/agalaa thiyanavaa gedhara inna kaalal ammaa thaaththaa na\ngilaa ekka |mama thunpaarak mea kandha n/agalaa thiyanavaa gedhara inna kaalal ammaa thaaththaa na\ngilaa ekka 
SIN011-0091|eaka hari lassanayiloo dhamayanthi esea pavasathma kasunita kisiyam parabo)Dhayak /athiviya|eaka hari lassanayiloo dhamayanthi esea pavasathma kasunita kisiyam parabo)Dhayak /athiviya
SIN011-0092|eyin parama shaanthiya vu niraamisa suvaya La`gaakaragatha h/akiyi|eyin parama shaanthiya vu niraamisa suvaya La`gaakaragatha h/akiyi
SIN011-0093|budhun vahanseath jeasu samidhuth penvaa dhii /athi nikeles maargaya thuLin apata ea shakthiya labaagatha h/akiyi|budhun vahanseath jeasu samidhuth penvaa dhii /athi nikeles maargaya thuLin apata ea shakthiya labaagatha h/akiyi
SIN011-0094|jeasu samidhu dheashanaa karalaa thiyanavaa sarva balaDhaarii dheviyan vahansea vishvaya puraa p/athira sitina bava|jeasu samidhu dheashanaa karalaa thiyanavaa sarva balaDhaarii dheviyan vahansea vishvaya puraa p/athira sitina bava
SIN011-0095|mata pavasannea ea Dharmayi bhavayea dhuka n/athikiriimen l/abiya h/aki aveadhitha sa`gamok suva /agea manasata dh/anennaak men viya|mata pavasannea ea Dharmayi bhavayea dhuka n/athikiriimen l/abiya h/aki aveadhitha sa`gamok suva /agea manasata dh/anennaak men viya
SIN011-0096|hombhayea /ata ganan karana vita siyaLua sathvayaata pearama kiriimata igena gaththaa dh/an budhDha dhivaakarayaanan vahansea|hombhayea /ata ganan karana vita siyaLua sathvayaata pearama kiriimata igena gaththaa dh/an budhDha dhivaakarayaanan vahansea
SIN011-0097|meth dhiya dhahara /ayata sihiviya althaaraya idhiriyea dhana gasaa bayibalaya kiyavamin|meth dhiya dhahara /ayata sihiviya althaaraya idhiriyea dhana gasaa bayibalaya kiyavamin
SIN011-0098|meth k/aloom /agea hanndha sanasannata viya kurusayea /aNa g/asu vitath jeasu samidhugea dhenethin v/agiruNu|meth k/aloom /agea hanndha sanasannata viya kurusayea /aNa g/asu vitath jeasu samidhugea dhenethin v/agiruNu
SIN011-0099|yomuvuyea budhunvahansea hiti piLimaya vethatayi adak piyavuNu shaanthi naayakayangea dhenethin galaa basina|yomuvuyea budhunvahansea hiti piLimaya vethatayi adak piyavuNu shaanthi naayakayangea dhenethin galaa basina
SIN011-0100|budhum/adhureth ek pasaka sidhuhath kumaru neLuam mal matha paa thabanavaa in pasuva apea dheneth |budhum/adhureth ek pasaka sidhuhath kumaru neLuam mal matha paa thabanavaa in pasuva apea dheneth 
SIN011-0101|apea dheavasThaanayea eka p/aththaka mariya dheavathumiya jeasu kumaarayaa vadaagena innavaa|apea dheavasThaanayea eka p/aththaka mariya dheavathumiya jeasu kumaarayaa vadaagena innavaa
SIN011-0102|putuvak r/agena avuth midhulea dhamayanthi siti th/anin inndhagaththaa ya ara k/alvari yannea mea kaalenea|putuvak r/agena avuth midhulea dhamayanthi siti th/anin inndhagaththaa ya ara k/alvari yannea mea kaalenea
SIN011-0103|budhunvahansea gea dhenethin vihidhena mahaa karuNaavak eka vageama apea sith sathan sanasanavaa|budhunvahansea gea dhenethin vihidhena mahaa karuNaavak eka vageama apea sith sathan sanasanavaa
SIN011-0104|neLuam maanel  o)Lua  aadhii malin piruNu mal aasana jeasu saminndhugea dhenethehi r/adhuNu mahaa karuNaavan|neLuam maanel  o)Lua  aadhii malin piruNu mal aasana jeasu saminndhugea dhenethehi r/adhuNu mahaa karuNaavan
SIN011-0105|budhun vahanseagea samaaDhiyata yomuvu dhenethin shaanthiya v/agirenavaa|budhun vahanseagea samaaDhiyata yomuvu dhenethin shaanthiya v/agirenavaa
SIN011-0106|sathara vatata neth yomukalaaya h/ama p/aththeama budhu piLima|sathara vatata neth yomukalaaya h/ama p/aththeama budhu piLima
SIN011-0107|in pasu dhiyaNiya mal dho)tha b/agin gena budhu geya piyan/aguha /aya anugamanaya kala s/avoma shaantha dhaanthaya|in pasu dhiyaNiya mal dho)tha b/agin gena budhu geya piyan/aguha /aya anugamanaya kala s/avoma shaantha dhaanthaya
