SIN014-0001|samahara p/alayaka hadhisiyea p/ana n/agunu malak dhutu vita ehi chamathkaarayen vashiikatha vemi|samahara p/alayaka hadhisiyea p/ana n/agunu malak dhutu vita ehi chamathkaarayen vashiikatha vemi
SIN014-0023|thevani vasarea shiSh\yayek viya sayuruta ohugen yamyam dhAa asaa dh/ana g/aniimata h/aki vethayi sithuvemi eaheth|thevani vasarea shiSh\yayek viya sayuruta ohugen yamyam dhAa asaa dh/ana g/aniimata h/aki vethayi sithuvemi eaheth
SIN014-0024|/adhum p/aladhum aadhii siyaloo dheadha  ema kaamarayata genaaveaya amal aarthika vidhyaa visheasha upaadhiya sadhahaa hadhaarana|/adhum p/aladhum aadhii siyaloo dheadha  ema kaamarayata genaaveaya amal aarthika vidhyaa visheasha upaadhiya sadhahaa hadhaarana
SIN014-0025|hethema kaamarayea makunu dh/al kadaa pirisidhu kara measaya matha vu liyakiyavili ayinakin thabaa ohugea poth path pilivelakata thabaa gaththeaya|hethema kaamarayea makunu dh/al kadaa pirisidhu kara measaya matha vu liyakiyavili ayinakin thabaa ohugea poth path pilivelakata thabaa gaththeaya
SIN014-0026|mahaththayaagea ofis kaamarayata p/aminiyeaya mahathmayaa gedharin pitava giya pasu ema kaamaraya aspas kirima athapasu vii thibuni|mahaththayaagea ofis kaamarayata p/aminiyeaya mahathmayaa gedharin pitava giya pasu ema kaamaraya aspas kirima athapasu vii thibuni
SIN014-0027|mata  o)ni v/ada avama karagena nispaansuvea innaiita pasu dhinama amal sayurugea kaamarayata allapu|mata  o)ni v/ada avama karagena nispaansuvea innaiita pasu dhinama amal sayurugea kaamarayata allapu
SIN014-0028|ea venakota vishva vidhyaalaya patan nogaththoth vena bo)dimak hoyan yanna  o)ni mama vunath pita kenek navathvaganna harima akam/athiyi|ea venakota vishva vidhyaalaya patan nogaththoth vena bo)dimak hoyan yanna  o)ni mama vunath pita kenek navathvaganna harima akam/athiyi
SIN014-0029|h/ab/ayi thava maasa dheka thunakin vithara mahaththayaa pitarata idhalaa la\nkaavata enavaa vibhaagayata paadam karanna thiyenavaa kiyalaa b/ah/a|h/ab/ayi thava maasa dheka thunakin vithara mahaththayaa pitarata idhalaa la\nkaavata enavaa vibhaagayata paadam karanna thiyenavaa kiyalaa b/ah/a
SIN014-0030|vishva vidhyaalaya patan ganiivi mama eahenam mahaththayaagea ofis kaamaraya tika dhavasakata dhennam|vishva vidhyaalaya patan ganiivi mama eahenam mahaththayaagea ofis kaamaraya tika dhavasakata dhennam
SIN014-0031|yamekuta seavaya kirima methek kal maga h/arii giya karunak lesa mata h/agii giyeaya kohoma vunath thava maasa dheka thunakin|yamekuta seavaya kirima methek kal maga h/arii giya karunak lesa mata h/agii giyeaya kohoma vunath thava maasa dheka thunakin
SIN014-0032|iitath vadaa dhuppath lamayekuta udhavu karana eka koyi tharam pinakdha? mamathvayata hisa esaviimata ida nohAara|iitath vadaa dhuppath lamayekuta udhavu karana eka koyi tharam pinakdha? mamathvayata hisa esaviimata ida nohAara
SIN014-0033|kisidhu suvadhak nodh/anuni eya pichcha p/alayak lesa hadhunvaa dhii thibunadha eya kudaa sudhu mal pokurak hata gannaa|kisidhu suvadhak nodh/anuni eya pichcha p/alayak lesa hadhunvaa dhii thibunadha eya kudaa sudhu mal pokurak hata gannaa
SIN014-0034|mata muhuna pAamata /athi apahasuthaa amathakavii giyeaya upaadhiyata igena gannaa lamayekuta|mata muhuna pAamata /athi apahasuthaa amathakavii giyeaya upaadhiyata igena gannaa lamayekuta
SIN014-0035|paadam karanna koyi tharam pahasudha kiyalaa hithenavaa ohugea basin magea hitha molok viima nisaa|paadam karanna koyi tharam pahasudha kiyalaa hithenavaa ohugea basin magea hitha molok viima nisaa
SIN014-0036|ea vunaata  patan gaththa gamanma thunveni avurudhdhea vibhaagaya thiyeavii magea poth tika thiyaa ganna venama measayak thiyenam|ea vunaata  patan gaththa gamanma thunveni avurudhdhea vibhaagaya thiyeavii magea poth tika thiyaa ganna venama measayak thiyenam
SIN014-0037|maa ena bava dhutu hethema putuva pasekata thabaa n/agii sitiyeaya mis, apea vishva vidhyaalaya patan ganna dhavasak g/ana aaranchiyakvath n/ahAa|maa ena bava dhutu hethema putuva pasekata thabaa n/agii sitiyeaya mis, apea vishva vidhyaalaya patan ganna dhavasak g/ana aaranchiyakvath n/ahAa
SIN014-0038|kisidhu maaDh\yakin niveadhanaya novunidhinak amal gevaththea ek pasaka vu araliya gasaka putuvaka vaa\N vii sitiyeaya|kisidhu maaDh\yakin niveadhanaya novunidhinak amal gevaththea ek pasaka vu araliya gasaka putuvaka vaa\N vii sitiyeaya
SIN014-0039|heathuva amal bava kalpanaa kalemi maasa gananak gatha vuvadha, vishva vidhyaalaya aarambha karana bavata hoduvaavakvath|heathuva amal bava kalpanaa kalemi maasa gananak gatha vuvadha, vishva vidhyaalaya aarambha karana bavata hoduvaavakvath
SIN014-0040|esea vuvadha sayuru paasala /arii gedhara aapasu venadhaata vadaa gathakara kariyaashiili, udhyogamath svaabhaavayata|esea vuvadha sayuru paasala /arii gedhara aapasu venadhaata vadaa gathakara kariyaashiili, udhyogamath svaabhaavayata
SIN014-0041|maa thula vuyea kanassallaki s/ah/alloo jiivithayehi nihada bava m/akii yannaak men mata dh/anina|maa thula vuyea kanassallaki s/ah/alloo jiivithayehi nihada bava m/akii yannaak men mata dh/anina
SIN014-0042|thun vealatama kAama piliyela kara dhiimath, balaaporoththu vuvaata vadaa kaalaya gathavana kaaryayak viya viveakaya aduviima pilibadhava|thun vealatama kAama piliyela kara dhiimath, balaaporoththu vuvaata vadaa kaalaya gathavana kaaryayak viya viveakaya aduviima pilibadhava
SIN014-0043|pichcha p/alayeadha sudhu mal pokurak pipii thibuni ea p/alaya lagin /ana gasaa gath mama eya simbemi|pichcha p/alayeadha sudhu mal pokurak pipii thibuni ea p/alaya lagin /ana gasaa gath mama eya simbemi
SIN014-0044| o)nea kamin gea dhora v/ada katayuthu valata sahabhaagii viya eaheth amal nivasata aa dhaa patan ohu venuven thea piliyela kara dhiimath| o)nea kamin gea dhora v/ada katayuthu valata sahabhaagii viya eaheth amal nivasata aa dhaa patan ohu venuven thea piliyela kara dhiimath
SIN014-0045|mama maamaa laga innavaa kivvaata ammaath thaaththaath hariyata sathutu vunaa amaraseana venadhaatath vadaa unandhuven haa|mama maamaa laga innavaa kivvaata ammaath thaaththaath hariyata sathutu vunaa amaraseana venadhaatath vadaa unandhuven haa
SIN014-0046|amaraseana oyaagea kavudha? hariyatama nAa kama mokakdha? ea magea ammaagea eka kusa upan mallii|amaraseana oyaagea kavudha? hariyatama nAa kama mokakdha? ea magea ammaagea eka kusa upan mallii
SIN014-0047|ektharaa avasthaavaka ohugea pavulea thorathuru dh/anag/aniimea risiyen amal samaga kathaavata pivisunemi|ektharaa avasthaavaka ohugea pavulea thorathuru dh/anag/aniimea risiyen amal samaga kathaavata pivisunemi
SIN014-0048|baahira katayuthuvala yedhiimath, vino)dha viimath nisaa amal apagea parisarayata amuththeku lesa noh/aguneaya|baahira katayuthuvala yedhiimath, vino)dha viimath nisaa amal apagea parisarayata amuththeku lesa noh/aguneaya
SIN014-0049|vishayaanubadhdha poth kiyaviimehidha niratha viya sayuru paasala /arii gedhara aapasu ohu samaga ekathuva|vishayaanubadhdha poth kiyaviimehidha niratha viya sayuru paasala /arii gedhara aapasu ohu samaga ekathuva
SIN014-0050|ohu udhea aahaaraya g/aniimen pasu gasak yata putuvak thabaagena satahana kiyaviimehidha?|ohu udhea aahaaraya g/aniimen pasu gasak yata putuvak thabaagena satahana kiyaviimehidha?
SIN014-0051|v/adi dhavasak gatha viimata pera amal igeniimata imahath uthsahayaka yedhenneku bava mata h/agii giyeaya|v/adi dhavasak gatha viimata pera amal igeniimata imahath uthsahayaka yedhenneku bava mata h/agii giyeaya
SIN014-0052|igena ganna lamayekuta udhavu karana eka koyi tharam pinakdha? aayaachanayaka hadak amaraseanagea muvin pitaviya|igena ganna lamayekuta udhavu karana eka koyi tharam pinakdha? aayaachanayaka hadak amaraseanagea muvin pitaviya
SIN014-0053|eakayi amal puthaa mama hoyaagena /avith thiyennea eahenam tika dhavasak amaraseanath ekka mehea inna b/ariyAa|eakayi amal puthaa mama hoyaagena /avith thiyennea eahenam tika dhavasak amaraseanath ekka mehea inna b/ariyAa
SIN014-0054|ea alaya sambandha siyaloo parivaara mul aadhii dhAa haaraa ivath kalemi amal visin gen/avith situvana ladha|ea alaya sambandha siyaloo parivaara mul aadhii dhAa haaraa ivath kalemi amal visin gen/avith situvana ladha
SIN014-0055|vishava vidh\yaala shiSh\yayo)dha kaatath h/andhAavea haya venna issellaa vishva vidh\yaala bhumiyenuth, hostal valinuth pita venna kiyalaa|vishava vidh\yaala shiSh\yayo)dha kaatath h/andhAavea haya venna issellaa vishva vidh\yaala bhumiyenuth, hostal valinuth pita venna kiyalaa
SIN014-0056|vishava vidh\yaala shiSh\yayo)dha amaraseanagea pasupasin p/aminaa maa siti th/ana n/avathuneayano)naata mea lamayaa vistharea kiyanna /athinea|vishava vidh\yaala shiSh\yayo)dha amaraseanagea pasupasin p/aminaa maa siti th/ana n/avathuneayano)naata mea lamayaa vistharea kiyanna /athinea
SIN014-0057|barata urehi ellaagena aa bAagayak, athehi vu bAagayak kaamarayehi thabaa s/ah/alloo bavakin yuthuva|barata urehi ellaagena aa bAagayak, athehi vu bAagayak kaamarayehi thabaa s/ah/alloo bavakin yuthuva
SIN014-0058|tika  velaavakata pasu amaraseana maa soyaa p/aminiyeaya ohugea muhunea ahinsaka bava mathuvii thibuni|tika  velaavakata pasu amaraseana maa soyaa p/aminiyeaya ohugea muhunea ahinsaka bava mathuvii thibuni
SIN014-0059|amaraseana maamaa hamuvenna aavea garaaj ekata allalaa thiyennea eyaa inna kaamarea gihin hamuvenna|amaraseana maamaa hamuvenna aavea garaaj ekata allalaa thiyennea eyaa inna kaamarea gihin hamuvenna
SIN014-0060|dhina niyamayak  n/athiva v/ahuvaa h/amotama vishva vidh\yaala bhumiyenuth, hostal valinuth yanna kivvaa eakayi mama|dhina niyamayak  n/athiva v/ahuvaa h/amotama vishva vidh\yaala bhumiyenuth, hostal valinuth yanna kivvaa eakayi mama
SIN014-0061|kohea idhaladha ennea? mama vishva vidh\yaala shiSh\yayek adha vishva vidh\yaalayea shiSh\ya g/atumak nisaa|kohea idhaladha ennea? mama vishva vidh\yaala shiSh\yayek adha vishva vidh\yaalayea shiSh\ya g/atumak nisaa
SIN014-0062|amaraseana darayivar unnAahea innea mea gedharadha? mama eyaagea nAayek mata eyaa hamu venna  o)nAa|amaraseana darayivar unnAahea innea mea gedharadha? mama eyaagea nAayek mata eyaa hamu venna  o)nAa
SIN014-0063|ohu kisiyam thorathurak /asiimata pula pulaa balaa sitina bava h/agii giyen mama dhoratuva madhak vivara kalemi|ohu kisiyam thorathurak /asiimata pula pulaa balaa sitina bava h/agii giyen mama dhoratuva madhak vivara kalemi
SIN014-0064|gemidhulehi ehaa mehaa sakman kalemi kisivek geattuva asalata vith dhoratuven /athulata eamata maana balamin sitiyeaya|gemidhulehi ehaa mehaa sakman kalemi kisivek geattuva asalata vith dhoratuven /athulata eamata maana balamin sitiyeaya
SIN014-0065|akmul okkoma ugullanavaa alavangu paharin goda maanel alaya k/a\N giyeaya ea avata pas burul kala mama|akmul okkoma ugullanavaa alavangu paharin goda maanel alaya k/a\N giyeaya ea avata pas burul kala mama
SIN014-0066|avaradhiga ahasehi valaakuloo ginirathu thadha th/abili varna gena h/ara pAaveaya mama edhesa balamin|avaradhiga ahasehi valaakuloo ginirathu thadha th/abili varna gena h/ara pAaveaya mama edhesa balamin
SIN014-0067|vasarak pamaka kaalayak nodh/aniima gevii giyeaya edhina s/andhAaveahi kshithijayea gilena hirugea varnayen|vasarak pamaka kaalayak nodh/aniima gevii giyeaya edhina s/andhAaveahi kshithijayea gilena hirugea varnayen
SIN014-0068|gevunu pilivelakata gannaa ayuru s/akasiimata ohu dh/aru uthsahayayi nava parisarayata huru purudhu vii|gevunu pilivelakata gannaa ayuru s/akasiimata ohu dh/aru uthsahayayi nava parisarayata huru purudhu vii
SIN014-0069|anek karuna vuyea svaami purushayaa vidheasha gatha viimata palamuva naa naa vargayea mal p/ala gen/avith|anek karuna vuyea svaami purushayaa vidheasha gatha viimata palamuva naa naa vargayea mal p/ala gen/avith
SIN014-0070|sitha santharpanaya karana karyayak viya gevaththa alankaara kirima sambandhayen visheaSha k/apakirimak kirimata pelabunu|sitha santharpanaya karana karyayak viya gevaththa alankaara kirima sambandhayen visheaSha k/apakirimak kirimata pelabunu
SIN014-0071|ohuta udhea aahaaraya g/aniimata per/aththa kirimayi magea dhavasea v/ada katayuthu nimakara nivasa idhiripita kudaa gevaththa alankaara lesa sakas kirima|ohuta udhea aahaaraya g/aniimata per/aththa kirimayi magea dhavasea v/ada katayuthu nimakara nivasa idhiripita kudaa gevaththa alankaara lesa sakas kirima
SIN014-0072|mama mano) lo)kayen nomidhii sitimi inpasuva maa visin kala yuthuma kaaryayak vuyea|mama mano) lo)kayen nomidhii sitimi inpasuva maa visin kala yuthuma kaaryayak vuyea
SIN014-0073|oota avash\ya parisaraya r/aka dhiimata rupavaahiniya kariyathmaka nokiriimata sithaa gathimi puthaa udhea paasalata yaamata sudhaanam vana thek|oota avash\ya parisaraya r/aka dhiimata rupavaahiniya kariyathmaka nokiriimata sithaa gathimi puthaa udhea paasalata yaamata sudhaanam vana thek
SIN014-0074|n/amunu aththehi battichchek l/agum ganiyi ema sodhuru dharshanayata aashaa kalen raatharii kAamen pasu|n/amunu aththehi battichchek l/agum ganiyi ema sodhuru dharshanayata aashaa kalen raatharii kAamen pasu
SIN014-0075|parisarayea /athi nishshabdhathaavaya g/ana mama somnas viimii raathariyata magea kaamarea kavuloova dhesata|parisarayea /athi nishshabdhathaavaya g/ana mama somnas viimii raathariyata magea kaamarea kavuloova dhesata
SIN014-0076|mama kii dhavasak mea p/alayea gobaya kadalaa visi kalaadha? kisi v/adak velaa n/ah/amea s/area nam thavath noh/adhenna|mama kii dhavasak mea p/alayea gobaya kadalaa visi kalaadha? kisi v/adak velaa n/ah/amea s/area nam thavath noh/adhenna
SIN014-0077|magea hadhavatha parisarayata sanveadhii vemin sodhuru venasakata path karayikisiyam aramunakata sihi elaba siti liviimea katayuthu karagena yaamata  |magea hadhavatha parisarayata sanveadhii vemin sodhuru venasakata path karayikisiyam aramunakata sihi elaba siti liviimea katayuthu karagena yaamata  
SIN014-0078|aruno)dhayatath pera sita nonavathvaama /asena siyothungea apuru mihiri svar sangiitha bhaandayaka thath naadha vannaak men|aruno)dhayatath pera sita nonavathvaama /asena siyothungea apuru mihiri svar sangiitha bhaandayaka thath naadha vannaak men
SIN014-0079|aarakshaava sadhahaa riyadhuru vashayenuth amaraseana nivasin pitath vu kaamarayehi n/avathii sitiyeaya|aarakshaava sadhahaa riyadhuru vashayenuth amaraseana nivasin pitath vu kaamarayehi n/avathii sitiyeaya
SIN014-0080|dh/an nivasea vaasaya karanuyea apagea ekama puthu sayura haa maaya apagea gedhara dhora katayuthu valata pahasuva sadhahaa|dh/an nivasea vaasaya karanuyea apagea ekama puthu sayura haa maaya apagea gedhara dhora katayuthu valata pahasuva sadhahaa
SIN014-0081|apa nivasata gos nobo) kalakinma svaami purushayaata r/akiyaava kala aayathanayea puhunu viimak sadhahaa vidheasha gatha viimata sidhuviya|apa nivasata gos nobo) kalakinma svaami purushayaata r/akiyaava kala aayathanayea puhunu viimak sadhahaa vidheasha gatha viimata sidhuviya
SIN014-0082|nava nivasa svaabhaavadharmayea manaskaantha bava dh/anviima nisaa maagea abhilaashaya mal pala g/anviimata samath viya|nava nivasa svaabhaavadharmayea manaskaantha bava dh/anviima nisaa maagea abhilaashaya mal pala g/anviimata samath viya
SIN014-0083|maa pula pulaa sitiyea boho) kalaka sitaya api raththanapitiya paradheashayen milata gath sundhara parisaraya sahitha|maa pula pulaa sitiyea boho) kalaka sitaya api raththanapitiya paradheashayen milata gath sundhara parisaraya sahitha
SIN014-0084|dhinen dhina thadha rathu paatin dhaloo lamin ihalata nAagena naa p/alaya dhakina vita mathu vii eyi nirmaanaathmaka katayuthu vala niyAaliimata|dhinen dhina thadha rathu paatin dhaloo lamin ihalata nAagena naa p/alaya dhakina vita mathu vii eyi nirmaanaathmaka katayuthu vala niyAaliimata
SIN014-0085|mea paththea enna mama kisidhu hAagiimakin thorava p/avasiimi|mea paththea enna mama kisidhu hAagiimakin thorava p/avasiimi
SIN014-0086|hodhin vibhaagaya paas velaa hodha rassaavak l/abenna kiyalaa paraarthanaa karanavaa idak l/abunu vealaavaka|hodhin vibhaagaya paas velaa hodha rassaavak l/abenna kiyalaa paraarthanaa karanavaa idak l/abunu vealaavaka
SIN014-0087|mata mechchara dhavasak navaath/an dhiilaa, kAama biima dhiilaa sangarahaa kalaata sthuthiyiheadAa vu patharayak men ohugea muhuna  m/alavii thibuni|mata mechchara dhavasak navaath/an dhiilaa, kAama biima dhiilaa sangarahaa kalaata sthuthiyiheadAa vu patharayak men ohugea muhuna  m/alavii thibuni
SIN014-0088|ev/ani avasthaavak udhgatha vuvoth n/avatha amal apagea nivasa soyaa eth/ayi yana biyajanaka, dhomnas sahagatha sithivili|ev/ani avasthaavak udhgatha vuvoth n/avatha amal apagea nivasa soyaa eth/ayi yana biyajanaka, dhomnas sahagatha sithivili
SIN014-0089|sut keasayaka asuraa gaththeaya eahenam mama gihin ennam sayuru mallitath mama giyaa kiyannaaayeth /avith yanna enavaa|sut keasayaka asuraa gaththeaya eahenam mama gihin ennam sayuru mallitath mama giyaa kiyannaaayeth /avith yanna enavaa
SIN014-0090|kaageth sith thula karunaabara h/agiim janitha kaleaya dhina kihipayak  ikuthva giyeayaamal thamangea badu baahiraadhiya|kaageth sith thula karunaabara h/agiim janitha kaleaya dhina kihipayak  ikuthva giyeayaamal thamangea badu baahiraadhiya
SIN014-0091|maamaa puthaa vishva vidh\yaalaya patan gannakam maamaath ekka mea kamarayea inna mavagea senehea bara vadhan|maamaa puthaa vishva vidh\yaalaya patan gannakam maamaath ekka mea kamarayea inna mavagea senehea bara vadhan
SIN014-0092|puthaa podi kaalea maamath ekka harima ekathuyi puthaata mea thathvayata enna maamaa koyi tharam udhavu karalaa thiyenavaadha?|puthaa podi kaalea maamath ekka harima ekathuyi puthaata mea thathvayata enna maamaa koyi tharam udhavu karalaa thiyenavaadha?
SIN014-0093|puthaata dh/an thava avurudhadhak vunath maamaa ekka mea kaamarayea inna puloovaneapiyaa nihathamaaniiva parakaasha kaleaya|puthaata dh/an thava avurudhadhak vunath maamaa ekka mea kaamarayea inna puloovaneapiyaa nihathamaaniiva parakaasha kaleaya
SIN014-0094|thaaththaath ammaath amaraseanagea kaamaraya hodhin as pas kara puthaata paadam kirimata sudhusu ayurin sakas kaleaya|thaaththaath ammaath amaraseanagea kaamaraya hodhin as pas kara puthaata paadam kirimata sudhusu ayurin sakas kaleaya
SIN014-0095|amaraseanagea kaamarayea inna dhenna puloovandha kiyalaa ahannam mahaththayaa ii meal ekak evalaa thiyenavaa labana sathiyea dhii ena bava kiyalaa|amaraseanagea kaamarayea inna dhenna puloovandha kiyalaa ahannam mahaththayaa ii meal ekak evalaa thiyenavaa labana sathiyea dhii ena bava kiyalaa
SIN014-0096|mahaththayaa hitiyaanam amalta thava sathiyakath mehea inna bAari venavaamahaththayaa aavaama eyaa ekka kathaa karalaa vishva vidh\yaalaya patan gannakanvath|mahaththayaa hitiyaanam amalta thava sathiyakath mehea inna bAari venavaamahaththayaa aavaama eyaa ekka kathaa karalaa vishva vidh\yaalaya patan gannakanvath
SIN014-0097|mata dh/an amalta magea thathvaya kiyalaa /athi velaamama h/ama veleama kiyanavaa mehe bo)\N kaarayo) navathvaagannea n/ahAa kiyalaa|mata dh/an amalta magea thathvaya kiyalaa /athi velaamama h/ama veleama kiyanavaa mehe bo)\N kaarayo) navathvaagannea n/ahAa kiyalaa
SIN014-0098|ithiin apita /avith kiyanna kivvaa avasaanayea vibhaagaya ivara venakam thava avurudhadhak mehe navathvaganna kiyalaa|ithiin apita /avith kiyanna kivvaa avasaanayea vibhaagaya ivara venakam thava avurudhadhak mehe navathvaganna kiyalaa
SIN014-0099|eyata heathuva polisiya visin aragalayata havul vu sisun avata nives vala s/agavii /athi dh/ayi seviimata geval valata kadaa v/adhiimayi|eyata heathuva polisiya visin aragalayata havul vu sisun avata nives vala s/agavii /athi dh/ayi seviimata geval valata kadaa v/adhiimayi
SIN014-0100|goda maanel p/alayehi alaya udhuraa dh/amiimata patan gathimimeaka pudhuma p/alayak thamayi|goda maanel p/alayehi alaya udhuraa dh/amiimata patan gathimimeaka pudhuma p/alayak thamayi
SIN014-0101|mislayi  gedhara paadam karanna harima niskalanka th/anak kiyalaa amal kivvaa anith pahasukam valinuth aduvak n/ahAa kivvaa|mislayi  gedhara paadam karanna harima niskalanka th/anak kiyalaa amal kivvaa anith pahasukam valinuth aduvak n/ahAa kivvaa
SIN014-0102|mis bonsaayi p/ala valata aasayi kiyalaa puthaa meaka yaaloovekugen illan aavaa Aayi mea sAarea amalta hithunea ammayi, thaththaayi ekkan enna|mis bonsaayi p/ala valata aasayi kiyalaa puthaa meaka yaaloovekugen illan aavaa Aayi mea sAarea amalta hithunea ammayi, thaththaayi ekkan enna
SIN014-0103|kotharam ramaniiya dh/ayi mata h/agina  eaheth eya dh/akmen maa thula /athivu aanandha janaka h/agiima nopenvaa sitiyemi|kotharam ramaniiya dh/ayi mata h/agina  eaheth eya dh/akmen maa thula /athivu aanandha janaka h/agiima nopenvaa sitiyemi
SIN014-0104|th/atiyak v/ani mal po)chchiyaka v/a\N /athi parimithiya sentimiitar visi pahak pamana vu athu bedhunu mahatha kadha|th/atiyak v/ani mal po)chchiyaka v/a\N /athi parimithiya sentimiitar visi pahak pamana vu athu bedhunu mahatha kadha
